item,value,evidence
model,roneneldan/TinyStories-8M,results/02_final_training/final_training_20260620T053855Z/manifest.json
final_training_source_commit,98913e931d2dd1ea4453a519b2ff860008cffb69,results/02_final_training/final_training_20260620T053855Z/manifest.json
llc_campaign_source_commit,67686c00f3e65ac97466338522667bc9c8af1b9c,results/03_llc_campaign/llc_campaign_final_training_20260620T053855Z_batch16/manifest.json
tokenizer_vocab_sha256,e35d8b86ebd35ebd260d040aa455e09759f7e675f4dbb7f3d727516f27eca190,results/02_final_training/final_training_20260620T053855Z/manifest.json
frozen_config_sha256,6046581a0ce97c4c58390aea321b81109994cd65145ca31866a0ad955dbe9eac,results/02_final_training/final_training_20260620T053855Z/frozen_config.json
split_manifest_sha256,d437524bb70b6bf4a7e3a912c71c613a678572410d1aacbb8b6ccfa7dd5e7af6,results/02_final_training/final_training_20260620T053855Z/data_splits/split_manifest.json
sampler_reference_sha256,b9a366d668658bb1d8fda5143aeae70c3c08b439ac10bb34fc33966fc5e4752f,results/03_llc_campaign/llc_campaign_final_training_20260620T053855Z_batch16/manifest.json
sampler_config_sha256,e091991be4d20e215b8a9937eea9ade19dc371bee758ccffad1c7f76638218cd,results/03_llc_campaign/llc_campaign_final_training_20260620T053855Z_batch16/sampler_config.json
selected_llc_tokens,"0,100000,400000,1500000,5000000,8000000",results/03_llc_campaign/llc_campaign_final_training_20260620T053855Z_batch16/manifest.json
