run_id,phase,status,condition,model,seed,git_commit,config_path,start_utc,end_utc,gpu_hours,estimated_cost_usd,output_dir,notes
infra-gate-20260620T0138Z,infrastructure_gate,failed,environment_setup,TinyStories-3M,20260620,18cd0eb,Makefile,2026-06-20T01:40:45Z,2026-06-20T01:41:35Z,0.0139,0.0139,results/_jobs/infra-gate-20260620T0138Z,"Python 3.10 dependency resolution failed for devinterp 2.0.1 via zarr Python requirements."
infra-gate-py311-20260620T0145Z,infrastructure_gate,failed,environment_setup,TinyStories-3M,20260620,18cd0eb,Makefile,2026-06-20T01:42:21Z,2026-06-20T01:42:43Z,0.0061,0.0061,results/_jobs/infra-gate-py311-20260620T0145Z,"Python 3.11 resolved dependencies but uv venv lacked pip for python -m pip freeze."
infra-gate-py311-20260620T0150Z,infrastructure_gate,failed,training_and_sampler_smoke,TinyStories-3M,20260620,18cd0eb,Makefile,2026-06-20T01:43:04Z,2026-06-20T01:44:25Z,0.0225,0.0225,results/_jobs/infra-gate-py311-20260620T0150Z,"CUDA check and seq64/seq128 training benchmarks completed; sampler failed because devinterp llc required observables."
infra-gate-sampler-20260620T0155Z,infrastructure_gate,failed,sampler_smoke_random_tokens,TinyStories-3M,20260620,18cd0eb+dirty_sampler_patch,Makefile,2026-06-20T01:47:11Z,2026-06-20T01:47:20Z,0.0025,0.0025,results/_jobs/infra-gate-sampler-20260620T0155Z,"Sampler observables supplied but dataset yielded Python lists instead of torch tensors."
infra-gate-sampler-20260620T0200Z,infrastructure_gate,completed,sampler_smoke_random_tokens,TinyStories-3M,20260620,18cd0eb+dirty_sampler_patch,Makefile,2026-06-20T01:48:35Z,2026-06-20T01:49:42Z,0.0186,0.0186,results/00_infrastructure_gate,"Completed sampler smoke test and project estimate using existing successful training benchmark outputs."
infrastructure-gate-consolidated,infrastructure_gate,completed,tinystories_3m_cuda_train_sampler_smoke,TinyStories-3M,20260620,18cd0eb+dirty_sampler_patch,Makefile,2026-06-20T01:40:45Z,2026-06-20T01:49:42Z,0.0636,0.0636,results/00_infrastructure_gate,"CUDA check, train seq64/seq128, sampler smoke, zarr trace, final nvidia-smi, dependency freeze, and estimate completed; failed attempts retained under results/_jobs."
llc_seed_a_final,03_llc_campaign,completed,structured_pt_seed_a,roneneldan/TinyStories-8M,20260620,de6493c,results/02_final_training/final_training_20260620T175233Z_wiki100m/llc_selection_seed_a_final.json,2026-06-21T00:15:01Z,2026-06-21T02:18:37Z,2.06,2.06,results/03_llc_campaign/seed_a_FINAL_20260621T001501Z,"Primary LLC trajectory, loc=100, 3 chains, non-padded structured reference. 11/11 positive, rise-then-plateau +52->+87 bracketing the 1.5-2.5M grammar transition. Job exit 1 on cosmetic KeyError estimated_cost_usd AFTER all sampling; science complete."
llc_shuffled_control,03_llc_campaign,completed,shuffled_pt,roneneldan/TinyStories-8M,20260620,de6493c,results/02_final_training/final_training_20260620T175233Z_wiki100m/llc_selection_shuffled_pt.json,2026-06-21T02:51:18Z,2026-06-21T04:54:37Z,2.05,2.05,results/03_llc_campaign/shuffled_pt_FINAL_20260621T025118Z,Control. Condition-matched non-padded reference. Rises to ~60 by 1.5M then DECLINES to ~28 by 100M; no aligned changepoint. Cosmetic KeyError exit; 11/11 sampled.
llc_matched_en_control,03_llc_campaign,completed,matched_en,roneneldan/TinyStories-8M,20260620,de6493c,results/02_final_training/final_training_20260620T175233Z_wiki100m/llc_selection_matched_en.json,2026-06-21T04:54:45Z,2026-06-21T06:57:45Z,2.05,2.05,results/03_llc_campaign/matched_en_FINAL_20260621T045445Z,"Control. Condition-matched non-padded reference. Smooth gentle rise 51->70; no steep transition, no high plateau. Cosmetic KeyError exit; 11/11 sampled."
llc_seedA_loc300,03_llc_campaign,completed,structured_pt_seed_a,roneneldan/TinyStories-8M,20260620,de6493c,results/02_final_training/final_training_20260620T175233Z_wiki100m/llc_selection_seed_a_final.json,2026-06-21T06:57:45Z,2026-06-21T09:00:46Z,2.05,2.05,results/03_llc_campaign/seedA_loc300_20260621T065745Z,"Localization-sensitivity. Same selection+reference as seed-A, loc=300. ~4 units below loc=100 but identical shape -> changepoint robust to localization. Cosmetic KeyError exit; 11/11 sampled."
train_seed_b,02_final_training,running,structured_pt_seed_b,roneneldan/TinyStories-8M,202606201,de6493c,results/02_final_training/final_training_20260620T175233Z_wiki100m/frozen_config.json,2026-06-21T16:07:02Z,,,,results/02_final_training/final_training_20260620T175233Z_wiki100m/conditions/structured_pt_seed_b,"Replication seed (offset 404, identical data) via final_training.py --only-conditions. LLC + replication report to follow (infra/remote/seedb_pipeline.sh)."
